POINTID,SOC_Stock_Mg_ha
40922518,0.059778
40942518,0.050526708
40962378,0.038886138
40962390,0.070071825
40982448,0.060523804
40982506,0.060367438
41022358,0.07062
41022528,0.069720178
41042398,0.026847
41062402,0.059644097
41062406,0.067151387
41082390,0.0451382
41082416,0.047900733
41082462,0.0507234
41102384,0.039880739
41102438,0.041506967
41102442,0.060367438
41102514,0.030048
41122362,0.0430726
41122412,0.0383444
41142432,0.055099237
41162380,0.069376041
41162386,0.0215358
41182396,0.035060796
41202370,0.040655213
41202376,0.036251285
41222390,0.056015543
41222398,0.047900733
41222408,0.039067117
41222516,0.069773829
41242352,0.041841794
41242442,0.02315
41242460,0.0530604
41242466,0.06394783
41262404,0.043783225
41262440,0.031017894
41262474,0.068273155
41262512,0.0431472
41302362,0.06756884
41302368,0.060445
41302380,0.033621616
41322378,0.04989299
41322462,0.039781873
41322480,0.065737461
41342376,0.048847837
41342398,0.049112793
41342404,0.045763156
41342434,0.036445994
41342524,0.069409823
41362364,0.049764468
41362374,0.05163093
41362410,0.045466505
41362526,0.048356
41382388,0.052804884
41382456,0.06228067
41382474,0.0323574
41382484,0.064583559
41402524,0.0343952
41422376,0.052341838
41442362,0.067834571
41442372,0.063079552
41442404,0.020584
41442422,0.022768893
41442444,0.056114977
41442462,0.03451
41462334,0.068352872
41462518,0.0498086
41482350,0.064967438
41482416,0.0166848
41502390,0.051870105
41502436,0.052574438
41502450,0.0216736
41522376,0.049635345
41522386,0.066699441
41522412,0.027734864
41522416,0.0143976
41522430,0.032342269
41522502,0.069705207
41542400,0.026490017
41542428,0.031241873
41562402,0.0354144
41562438,0.02248838
41582462,0.0231
41602424,0.0332
41602484,0.0220048
41622458,0.033621616
41622476,0.037780471
41622488,0.068719924
41642384,0.038521382
41662466,0.045317117
41682400,0.0398696
41702430,0.0159084
41702440,0.045317117
41722428,0.034357
41722446,0.050526708
41722486,0.044712378
41722504,0.063083998
41742420,0.062752929
41742438,0.034245244
41762422,0.020013
41762476,0.043308458
41762480,0.052107067
41782388,0.0282416
41782412,0.0262656
41782532,0.069031364
41802354,0.068935297
41802398,0.031685889
41802462,0.039781873
41802494,0.063014933
41822360,0.069470981
41822374,0.070107037
41822402,0.0435744
41822414,0.0534896
41862408,0.035060796
41862432,0.038521382
41862472,0.0468876
41882358,0.00315958
41882386,0.049635345
41902382,0.050899925
41902400,0.0328008
41902446,0.043783225
41902558,0.046528
41922402,0.042826723
41922420,0.01386
41922438,0.049941
41942498,0.070150085
41942506,0.056893724
41982386,0.047624376
41982398,0.056989003
41982542,0.055714411
42002438,0.026992866
42002460,0.035261906
42002492,0.048037942
42002504,0.069881858
42022404,0.00537
42022416,0.040482297
42022524,0.059644097
42062512,0.034763635
42082400,0.03056592
42102376,0.065488633
42102502,0.040827266
42142394,0.055714411
42142406,0.031017894
42182410,0.034450819
42182424,0.028702178
42182510,0.0940392
42242404,0.0510408
42242422,0.029584
42242484,0.065020987
42242502,0.069433725
42262432,0.0249856
42262490,0.036251285
42262512,0.067891897
42302452,0.036445994
42322388,0.068595104
42322402,0.066613491
42342404,0.048580394
42342480,0.031905955
42362424,0.046636394
42362456,0.0172128
42382412,0.048174509
42402468,0.0152768
42422416,0.0217386
42442386,0.049244346
42462478,0.044864649
42482476,0.0354838
42582462,0.042826723
