POINTID,SOC_Stock_Mg_ha,band1,band2,band3,band4,band5,band6,band7,band8,band9,band10,band11,band12,band13,band14,band15,band16,band17,band18,band19,band20,band21,band22,band23,band24,band25,band26,band27,band28,band29,band30,band31,band32,band33,band34,band35,band36,band37,band38,band39,band40,band41,band42,band43,band44,band45,band46,band47,band48,band49,band50,band51,band52,band53,band54,band55,band56,band57,band58,band59,band60,band61,band62,band63,band64,band65,band66,band67,band68,band69,band70,band71,band72,band73,band74,band75,band76,band77,band78,band79,band80,band81,band82,band83,band84,band85,band86,band87,band88,band89,band90,band91,band92,band93,band94,band95,band96,band97,band98,band99,band100,band101,band102,band103,band104,band105,band106,band107,band108,band109,band110,band111,band112,band113,band114,band115,band116,band117,band118,band119,band120,band121,band122,band123,band124,band125,band126,band127,band128,band129,band130,band131,band132,band133,band134,band135,band136,band137,band138,band139,band140,band141,band142,band143,band144,band145,band146,band147,band148,band149,band150,band151,band152,band153,band154,band155,band156,band157,band158,band159,band160,band161,band162,band163,band164,band165,band166,band167,band168,band169,band170,band171,band172,band173,band174,band175,band176,band177,band178,band179,band180,band181,band182,band183,band184,band185,band186,band187,band188,band189,band190,band191,band192,band193,band194,band195,band196,band197,band198,band199,band200,band201,band202,band203,band204,band205,band206,band207,band208,band209,band210,band211,band212,band213,band214,band215,band216,band217,band218,band219,band220,band221,band222,band223,band224,band225,band226,band227,band228,band229,band230,band231,band232,band233,band234
41242442,0.02315,0.02943,0.01463,0.01976,0.02014,0.01884,0.01865,0.01732,0.01476,0.01085,0.02097,0.01988,0.02322,0.02277,0.02666,0.02548,0.02976,0.03119,0.03865,0.04269,0.04538,0.0464,0.04543,0.04662,0.04558,0.04471,0.04704,0.04829,0.04784,0.048,0.04863,0.04894,0.04749,0.04822,0.0475,0.04958,0.05756,0.07149,0.09377,0.11492,0.13886,0.16524,0.19049,0.18372,0.20356,0.19623,0.19937,0.20983,0.19771,0.20098,0.20948,0.2137,0.21717,0.21624,0.22406,0.22855,0.21476,0.20174,0.22852,0.2072,0.166,0.15315,0.16867,0.19287,0.14163,0.14353,0.15575,0.1973,0.21376,0.21843,0.22728,0.23003,0.23804,0.2414,0.24483,0.24953,0.25434,0.25469,0.25214,0.25264,0.24848,0.23185,0.17285,0.16396,0.16503,0.15476,0.18949,0.20175,0.21839,0.22258,0.22167,0.22622,0.23313,0.23862,0.25333,0.26888,0.27123,0.25255,0.23758,0.22318,0.21297,0.1922,0.18099,0.16905,0.00273,0.00012,0.00041,6e-05,2e-05,0.00038,0.00177,0.0016,0.00584,0.05716,0.04825,0.05682,0.08302,0.10126,0.11684,0.12773,0.13417,0.13889,0.14333,0.14917,0.1539,0.15975,0.16269,0.16518,0.16886,0.17017,0.17099,0.17232,0.17485,0.17284,0.17412,0.17055,0.16808,0.16469,0.16303,0.16201,0.15665,0.15184,0.15138,0.13986,0.12985,0.11856,0.11559,0.01523,0.00465,0.00148,0.00261,0.00108,0.00089,0.0016,0.00243,0.00256,0.00148,0.00201,0.00233,0.00067,0.0009,0.00098,0.00154,0.0023,0.04678,0.06113,0.06473,0.07222,0.08215,0.07477,0.0546,0.07137,0.08956,0.09445,0.09769,0.09689,0.11144,0.09786,0.10248,0.10094,0.10195,0.09839,0.10274,0.10144,0.10346,0.10043,0.10684,0.10379,0.10349,0.10462,0.10335,0.10756,0.11144,0.1078,0.11328,0.1142,0.11423,0.11266,0.11221,0.10909,0.10054,0.10402,0.10611,0.123,0.09886,0.09618,0.09224,0.09137,0.07543,0.07294,0.07886,0.07944,0.07768,0.06636,0.05148,0.05292,0.04161,0.0406,0.0351,0.03828,0.03999,0.03542,0.02373,0.02199,0.03,0.01837,0.02826,0.01256,0.01076,0.01654,0.00456,0.0054,0.00262,0.00047,0.00493
41262440,0.031017894,0.03206,0.03845,0.03561,0.02911,0.03081,0.03297,0.03157,0.03163,0.02731,0.03622,0.03728,0.04036,0.03915,0.04581,0.04514,0.04981,0.05238,0.0616,0.06732,0.07071,0.07689,0.08084,0.08406,0.08936,0.08988,0.09644,0.0981,0.10285,0.10726,0.10832,0.11058,0.11131,0.11696,0.11972,0.12309,0.1284,0.12804,0.13425,0.13497,0.13672,0.14458,0.1556,0.14992,0.16428,0.1557,0.15586,0.16329,0.15293,0.15424,0.15985,0.16246,0.16352,0.16185,0.16622,0.1687,0.15676,0.14655,0.16608,0.15245,0.12717,0.1172,0.13347,0.15399,0.0889,0.10095,0.11614,0.15073,0.16085,0.1675,0.17522,0.17476,0.17694,0.18289,0.18444,0.18679,0.1897,0.18993,0.18741,0.1864,0.18093,0.16744,0.1192,0.11575,0.1268,0.12799,0.16226,0.17507,0.19075,0.19586,0.19553,0.1993,0.20259,0.20519,0.21425,0.22858,0.23055,0.2146,0.2004,0.19045,0.18549,0.16909,0.15862,0.14221,0.00174,2e-05,8e-05,2e-05,0.00027,0.00034,0.00084,0.00278,0.00801,0.0856,0.07308,0.08402,0.11514,0.13808,0.15845,0.17012,0.17464,0.17914,0.18294,0.18875,0.19077,0.195,0.1971,0.19751,0.19684,0.1978,0.19835,0.19608,0.19788,0.19878,0.20024,0.19594,0.19542,0.19428,0.19472,0.19051,0.18849,0.18071,0.17728,0.16834,0.15508,0.14301,0.13072,0.01646,0.00789,0.00311,0.00177,0.00203,0.00224,0.00281,0.00114,0.00055,0.00134,0.00127,0.00099,0.00169,0.00291,0.00247,0.00209,0.00168,0.03137,0.04434,0.06949,0.08359,0.0995,0.08641,0.0656,0.08197,0.10399,0.12033,0.13169,0.12277,0.13797,0.12226,0.13491,0.13976,0.13671,0.13721,0.14142,0.14092,0.14118,0.14347,0.14902,0.14874,0.14391,0.1463,0.1518,0.14029,0.14636,0.1492,0.14646,0.15427,0.15123,0.15705,0.1518,0.15,0.14826,0.14974,0.14272,0.13886,0.14376,0.13982,0.13639,0.13223,0.12644,0.10834,0.11783,0.12016,0.11539,0.09914,0.07276,0.07395,0.06203,0.05539,0.05528,0.05518,0.05571,0.03989,0.02766,0.03276,0.03857,0.02882,0.03883,0.01901,0.01384,0.02037,0.01778,0.01125,0.01187,0.00513,0.03674
41342434,0.036445994,0.06394,0.05658,0.05853,0.0613,0.06725,0.06351,0.06903,0.06775,0.06717,0.07227,0.07236,0.07895,0.07765,0.08295,0.08504,0.08846,0.09491,0.10336,0.1102,0.11489,0.11704,0.12251,0.12686,0.12921,0.12883,0.13675,0.13959,0.14144,0.1447,0.14572,0.14516,0.14298,0.1494,0.15061,0.15412,0.15601,0.15572,0.15976,0.15914,0.16159,0.16973,0.17832,0.17064,0.18804,0.1756,0.17685,0.18161,0.16696,0.1735,0.17662,0.17694,0.17707,0.17566,0.18001,0.17786,0.16431,0.15781,0.17229,0.14792,0.1328,0.13275,0.14325,0.16181,0.09567,0.10603,0.11815,0.15953,0.17212,0.17789,0.18224,0.18186,0.18605,0.18959,0.19335,0.19675,0.19889,0.19966,0.19583,0.19554,0.18869,0.17166,0.11044,0.12024,0.12692,0.1301,0.17107,0.18048,0.19428,0.20237,0.20177,0.20394,0.20804,0.21062,0.22193,0.23323,0.23586,0.22005,0.20626,0.19336,0.18695,0.16985,0.16201,0.0956,0.00053,0.00021,0.0004,2e-05,2e-05,0.00035,0.00124,0.00226,0.00775,0.1032,0.07634,0.09065,0.13248,0.1546,0.17285,0.18357,0.18936,0.19332,0.19689,0.20172,0.20424,0.20967,0.21209,0.20957,0.21036,0.20996,0.21021,0.20946,0.21044,0.20832,0.21166,0.20787,0.20381,0.20223,0.20244,0.20053,0.19808,0.18857,0.18834,0.17926,0.16025,0.14775,0.13408,0.01201,0.00339,0.00192,0.0031,0.00363,0.0027,0.00235,0.00183,0.00146,0.00237,0.00264,0.00217,0.00079,0.00304,0.00099,0.00284,0.00266,0.05736,0.07256,0.08299,0.10072,0.12067,0.0979,0.09747,0.08458,0.12543,0.14156,0.15138,0.13475,0.15315,0.14298,0.15045,0.16188,0.1552,0.15518,0.15602,0.15534,0.15818,0.15718,0.16158,0.1583,0.15782,0.16257,0.16118,0.15895,0.15917,0.15389,0.16106,0.15689,0.15305,0.15528,0.15509,0.15549,0.1518,0.15221,0.15595,0.14762,0.14519,0.14647,0.14067,0.13228,0.12541,0.10823,0.12197,0.12277,0.11211,0.10088,0.07652,0.07761,0.06154,0.05472,0.0501,0.05005,0.05989,0.04413,0.02934,0.02966,0.04211,0.03549,0.03691,0.00949,0.02605,0.0256,0.01268,0.00992,0.0087,0.0015,2e-05
41362364,0.049764468,0.0436,0.02226,0.02136,0.01985,0.02332,0.01701,0.01431,0.01282,0.01025,0.01256,0.01083,0.01511,0.00919,0.01242,0.01122,0.01627,0.02235,0.0302,0.03999,0.03903,0.03912,0.03647,0.03278,0.03145,0.02698,0.02701,0.02791,0.02715,0.02647,0.02586,0.0264,0.02245,0.02135,0.0215,0.02452,0.03333,0.0578,0.10358,0.15532,0.20511,0.26223,0.31955,0.31003,0.34435,0.33541,0.31752,0.37301,0.35918,0.35868,0.36291,0.36684,0.36584,0.36738,0.38599,0.41001,0.4015,0.38451,0.46035,0.45274,0.35532,0.30227,0.29856,0.33704,0.31382,0.31984,0.30359,0.35377,0.37043,0.36217,0.36503,0.3714,0.37861,0.38419,0.38978,0.39625,0.40323,0.40716,0.40716,0.41482,0.42548,0.43464,0.38291,0.39152,0.35393,0.30109,0.32596,0.32944,0.34987,0.35261,0.34475,0.34902,0.34794,0.34888,0.36698,0.39156,0.39637,0.3733,0.35674,0.34713,0.34537,0.33114,0.34699,0.41813,0.00485,0.00061,0.00014,0.00095,0.00023,0.0009,0.00105,0.00235,0.00433,0.06943,0.07333,0.07446,0.08206,0.10072,0.11669,0.12581,0.13143,0.13794,0.14441,0.15157,0.1593,0.16837,0.17307,0.17699,0.18135,0.18369,0.18544,0.18799,0.19004,0.19104,0.19217,0.18805,0.18521,0.1839,0.18169,0.17847,0.17636,0.17073,0.16814,0.1653,0.16773,0.16738,0.1803,0.01543,0.00499,0.00224,0.00082,0.00165,0.00241,0.00182,0.00214,0.00322,0.00146,0.00061,0.00148,0.00081,0.00085,0.00137,0.00174,0.00296,0.00543,0.03235,0.04628,0.04743,0.05936,0.06554,0.05132,0.04402,0.05687,0.06392,0.07173,0.07045,0.07146,0.07207,0.07193,0.07366,0.07277,0.07358,0.07892,0.07576,0.07456,0.07953,0.08231,0.0799,0.08188,0.08437,0.08533,0.08693,0.09143,0.09281,0.08974,0.09371,0.09409,0.09175,0.08806,0.09055,0.086,0.08458,0.0831,0.0788,0.08237,0.07564,0.06796,0.06911,0.06172,0.05586,0.06397,0.06589,0.0652,0.05519,0.03919,0.04076,0.02985,0.02676,0.02898,0.02821,0.01927,0.01988,0.01176,0.01051,0.01102,0.01256,0.00995,0.00458,0.0054,0.00612,0.00378,2e-05,2e-05,0.00015,0.00067
41382456,0.06228067,0.02666,0.00763,0.00941,0.0097,0.01331,0.00696,0.01057,0.00964,0.00426,0.00954,0.01111,0.01337,0.01083,0.01288,0.01598,0.02686,0.04097,0.05359,0.06426,0.06726,0.06702,0.06148,0.05455,0.04743,0.04141,0.04135,0.03993,0.03645,0.03452,0.03513,0.03021,0.02658,0.02312,0.02205,0.02431,0.04407,0.09071,0.1554,0.23023,0.30661,0.36316,0.40133,0.39753,0.43168,0.40706,0.41292,0.4266,0.39808,0.41164,0.42133,0.42864,0.43058,0.42718,0.44112,0.44091,0.41102,0.39088,0.43203,0.37679,0.31518,0.29973,0.33057,0.36379,0.27543,0.29238,0.30372,0.3801,0.39841,0.41135,0.42441,0.42615,0.43592,0.44384,0.45017,0.45794,0.46595,0.46435,0.45591,0.45219,0.43833,0.40798,0.27782,0.2851,0.28629,0.26722,0.33147,0.34778,0.37034,0.37865,0.37609,0.38065,0.38927,0.39426,0.41595,0.4354,0.43912,0.40697,0.37639,0.34675,0.32824,0.2864,0.2636,0.18839,0.00223,0.00046,0.00128,2e-05,2e-05,0.00034,0.0015,0.00099,0.004,0.04956,0.03865,0.04469,0.06802,0.08815,0.10581,0.12137,0.1344,0.14473,0.15668,0.16471,0.17644,0.18798,0.19217,0.2025,0.20594,0.21006,0.2134,0.21555,0.22123,0.22269,0.22428,0.22028,0.21711,0.2128,0.21134,0.20389,0.19588,0.1834,0.17755,0.16548,0.14365,0.13474,0.12865,0.01329,0.00493,0.00375,0.00082,0.00404,0.00262,0.00151,0.0016,0.00136,0.00375,0.00108,0.0022,0.00322,0.00258,0.00151,0.00095,0.00096,0.02901,0.01318,0.01952,0.02193,0.03104,0.03847,0.0571,0.02774,0.0406,0.04552,0.05126,0.04511,0.05801,0.05591,0.06233,0.06291,0.06783,0.06554,0.06822,0.06841,0.07364,0.07994,0.08313,0.08334,0.08891,0.08656,0.08942,0.088,0.09245,0.09815,0.10088,0.10153,0.09964,0.09241,0.0957,0.09129,0.08696,0.08865,0.08508,0.08136,0.08223,0.07982,0.07764,0.07364,0.06459,0.05339,0.06455,0.05423,0.04964,0.04097,0.04134,0.04211,0.03212,0.02434,0.02632,0.01137,0.02127,0.02147,0.01311,0.01704,0.01582,0.019,0.01321,0.00139,9e-05,0.0108,0.00107,0.00229,0.00685,2e-05,0.00284
41422376,0.052341838,0.0269,0.0304,0.02393,0.01549,0.0213,0.01837,0.0132,0.00372,0.00661,0.00877,0.00681,0.00908,0.00746,0.01311,0.00865,0.01239,0.01776,0.02463,0.03142,0.03256,0.03206,0.02904,0.02559,0.02383,0.02335,0.02028,0.02112,0.02185,0.02043,0.02033,0.02036,0.01828,0.0174,0.01495,0.01717,0.02829,0.0437,0.07112,0.1126,0.15293,0.20313,0.25396,0.2607,0.28937,0.2795,0.29194,0.31476,0.30593,0.30784,0.31006,0.31354,0.31315,0.31183,0.32856,0.3483,0.3425,0.33074,0.38918,0.39556,0.31057,0.26462,0.26078,0.28,0.28753,0.26433,0.26667,0.31095,0.31824,0.31232,0.31595,0.32654,0.32894,0.33664,0.34348,0.35048,0.35758,0.36121,0.36104,0.36997,0.37847,0.38781,0.34788,0.35959,0.31963,0.26415,0.2849,0.28304,0.29754,0.3003,0.29392,0.29464,0.2956,0.29657,0.31031,0.3317,0.33724,0.3171,0.29871,0.28959,0.28673,0.27277,0.27138,0.30518,0.00279,0.00076,0.00043,0.00015,0.00139,0.00012,0.00015,0.00159,0.00323,0.05209,0.02702,0.05222,0.06392,0.06964,0.08128,0.09082,0.09532,0.10088,0.10689,0.11446,0.12058,0.12844,0.13268,0.13927,0.14209,0.14411,0.14769,0.15004,0.15358,0.15338,0.15662,0.15213,0.1483,0.14812,0.14783,0.14427,0.14142,0.13706,0.1362,0.12952,0.12723,0.13678,0.14308,0.01077,0.00453,0.00415,0.00362,0.0023,0.00194,0.0056,0.00285,0.00258,0.0049,0.00328,0.00267,0.0015,0.00304,0.00235,0.00333,0.00244,0.05965,0.01416,0.03349,0.02914,0.04306,0.05855,0.02261,0.04698,0.04001,0.04234,0.04375,0.04372,0.05002,0.04364,0.05272,0.05106,0.04779,0.04828,0.0529,0.05393,0.0479,0.04904,0.05766,0.0578,0.05382,0.06296,0.06751,0.06423,0.06882,0.06653,0.06725,0.06592,0.05844,0.06401,0.06723,0.0647,0.06213,0.06278,0.06162,0.05513,0.05206,0.05481,0.05251,0.04546,0.04881,0.0432,0.04224,0.04125,0.04454,0.04829,0.02138,0.02654,0.02274,0.02374,0.01825,0.01665,0.02251,0.00777,0.01096,0.01466,0.01685,0.00723,0.00757,0.01042,0.00665,0.00157,0.00197,0.00269,0.00369,0.0004,2e-05
41442362,0.067834571,0.02904,0.02396,0.00855,0.01877,0.01912,0.01538,0.01515,0.01065,0.00371,0.00427,0.00488,0.01015,0.00461,0.00322,0.01001,0.01407,0.01749,0.02745,0.03432,0.03122,0.02777,0.02492,0.02327,0.01736,0.01421,0.01717,0.0144,0.01321,0.01274,0.01268,0.01207,0.00757,0.0076,0.00888,0.00958,0.0217,0.04569,0.08298,0.13262,0.17465,0.21857,0.24691,0.25975,0.2797,0.2641,0.2715,0.28405,0.27277,0.28426,0.28505,0.28157,0.28733,0.28615,0.2956,0.30233,0.29772,0.29044,0.3256,0.29844,0.27939,0.24735,0.24814,0.26694,0.20002,0.24955,0.23452,0.28203,0.2889,0.2882,0.29436,0.29097,0.29433,0.30449,0.30704,0.31131,0.31696,0.32197,0.31844,0.3203,0.3243,0.32737,0.2551,0.27341,0.26928,0.23738,0.25972,0.2548,0.27002,0.27378,0.26502,0.26773,0.26998,0.27143,0.28557,0.30115,0.30715,0.2873,0.26947,0.25898,0.25403,0.23496,0.2446,0.22982,0.00185,5e-05,6e-05,0.00136,0.00038,0.00046,0.00131,0.00252,0.004,0.03938,0.04906,0.06439,0.05618,0.06979,0.0818,0.08957,0.09348,0.0983,0.10562,0.11269,0.11821,0.12721,0.13225,0.13288,0.13716,0.13921,0.14285,0.14394,0.14554,0.15111,0.14995,0.14583,0.14426,0.14235,0.14092,0.13854,0.13532,0.13054,0.12728,0.12233,0.12612,0.12059,0.12831,0.00938,0.00269,0.00616,0.00145,0.00409,0.00714,0.00053,0.00021,0.00018,0.00229,0.00114,6e-05,0.00423,0.00352,0.00139,0.00145,0.00482,0.00174,0.01984,0.01859,0.03142,0.02618,0.00993,0.08576,0.047,0.03719,0.03809,0.04405,0.04079,0.03615,0.03569,0.05208,0.05182,0.04944,0.05428,0.0555,0.05692,0.05451,0.05701,0.06554,0.05679,0.05892,0.07111,0.06493,0.06253,0.06639,0.0696,0.06938,0.06081,0.07494,0.07073,0.07059,0.06342,0.07236,0.06435,0.05933,0.0562,0.06131,0.0598,0.05475,0.06421,0.05368,0.04456,0.04369,0.04932,0.06082,0.02776,0.0262,0.0312,0.02168,0.02174,0.02242,0.02451,0.0327,0.00905,0.01669,0.01266,0.01018,0.00565,0.01578,0.00606,0.00676,0.00505,0.00151,0.02757,2e-05,0.00618,0.00798
41442372,0.063079552,0.04242,0.02161,0.02455,0.02007,0.02098,0.0166,0.01506,0.0116,0.00858,0.00984,0.01059,0.0117,0.0067,0.01004,0.01108,0.01549,0.02295,0.03381,0.04561,0.04347,0.04294,0.03981,0.03453,0.02983,0.02473,0.02606,0.02475,0.02177,0.02277,0.02145,0.01976,0.0159,0.01358,0.01375,0.01378,0.03006,0.06517,0.12387,0.1989,0.27047,0.33794,0.39045,0.39724,0.4341,0.41823,0.43093,0.45948,0.44743,0.45669,0.46125,0.46116,0.46543,0.46642,0.48779,0.51124,0.50623,0.48898,0.56844,0.55694,0.4716,0.40571,0.40208,0.44015,0.39013,0.41494,0.38555,0.46296,0.48281,0.47448,0.48356,0.48739,0.49987,0.50892,0.51881,0.53066,0.54144,0.54931,0.54682,0.55911,0.57119,0.57606,0.47823,0.48463,0.46206,0.39078,0.43134,0.43746,0.45977,0.46519,0.45711,0.46159,0.46154,0.46537,0.48852,0.51847,0.52383,0.4931,0.46854,0.4506,0.44373,0.41814,0.42629,0.41721,0.00276,0.00066,0.00108,0.00024,0.0005,0.00111,0.00179,0.00208,0.00388,0.08139,0.06304,0.07051,0.09792,0.11589,0.13323,0.14452,0.15343,0.16258,0.17227,0.18398,0.19277,0.20566,0.21401,0.21804,0.22635,0.228,0.23281,0.23648,0.23972,0.23888,0.24001,0.23722,0.23153,0.22731,0.22643,0.21906,0.21711,0.20319,0.20291,0.19896,0.18885,0.19228,0.19806,0.01541,0.00481,0.00256,0.00291,0.00369,0.00342,0.00227,0.0052,0.00487,0.00279,0.00117,0.00336,0.00301,0.00163,0.00076,0.00204,0.00354,0.04639,0.02509,0.03856,0.03641,0.0396,0.04816,0.04375,0.0334,0.0562,0.05937,0.06574,0.06075,0.06416,0.07076,0.06693,0.07106,0.0695,0.07449,0.07329,0.07681,0.07979,0.08157,0.0903,0.08609,0.08585,0.08986,0.08988,0.09813,0.1008,0.09686,0.09827,0.10469,0.10338,0.09627,0.09618,0.09645,0.09459,0.09329,0.08528,0.08943,0.08548,0.0808,0.08313,0.06996,0.06674,0.05635,0.06053,0.07391,0.05776,0.05226,0.04013,0.03607,0.03142,0.02013,0.02557,0.02136,0.02586,0.02252,0.01306,0.01939,0.0128,0.01437,0.00806,0.00197,0.00558,0.00105,0.00125,2e-05,0.00052,0.00432,0.00322
41442404,0.020584,0.05402,0.03951,0.04422,0.0412,0.04483,0.03751,0.03609,0.02905,0.02779,0.03156,0.03139,0.03458,0.03023,0.03676,0.03619,0.04108,0.04521,0.05699,0.06955,0.06804,0.06864,0.06906,0.06967,0.07123,0.06893,0.07301,0.07568,0.07718,0.08075,0.08232,0.08449,0.08283,0.08425,0.08522,0.09191,0.11327,0.13349,0.16828,0.20014,0.21785,0.24924,0.29239,0.29004,0.31427,0.30115,0.31136,0.33428,0.32325,0.32741,0.33486,0.34119,0.34484,0.34638,0.36353,0.38206,0.37092,0.35399,0.4153,0.42521,0.36446,0.30835,0.2838,0.30651,0.30105,0.32142,0.28867,0.31046,0.32476,0.3176,0.32204,0.32967,0.33706,0.3415,0.34824,0.35848,0.36724,0.37092,0.37002,0.37345,0.38029,0.38834,0.37881,0.42751,0.3668,0.30367,0.29545,0.29157,0.30617,0.30655,0.30159,0.30494,0.30483,0.30982,0.32549,0.34858,0.35204,0.32987,0.3127,0.30573,0.30254,0.29818,0.33483,0.55839,0.02341,0.01904,0.01852,0.01904,0.02016,0.0262,0.02696,0.02351,0.02815,0.22843,0.16663,0.1337,0.11223,0.11202,0.11957,0.12718,0.12987,0.13439,0.13957,0.14765,0.15467,0.16272,0.16606,0.17107,0.17507,0.17562,0.17848,0.18061,0.18343,0.18573,0.1864,0.1841,0.18428,0.18192,0.18299,0.18248,0.1803,0.17459,0.17217,0.17345,0.17166,0.18537,0.22208,0.03502,0.02573,0.02223,0.02049,0.01901,0.01689,0.01756,0.0164,0.01457,0.01595,0.01511,0.01381,0.01209,0.01192,0.0127,0.01436,0.01061,0.08745,0.06145,0.05393,0.0526,0.06802,0.07524,0.06647,0.06421,0.06383,0.06912,0.07361,0.07352,0.0804,0.07378,0.07608,0.07657,0.07762,0.07633,0.07929,0.08138,0.08406,0.08611,0.09191,0.09444,0.09696,0.09941,0.10068,0.10491,0.10959,0.10851,0.11109,0.11315,0.11011,0.11043,0.10874,0.11064,0.10451,0.10361,0.10117,0.09621,0.09461,0.09242,0.08991,0.08414,0.07701,0.07292,0.08196,0.0817,0.07622,0.07291,0.05161,0.05281,0.04378,0.04355,0.03919,0.04033,0.03874,0.03066,0.02698,0.02364,0.03017,0.02985,0.02516,0.01227,0.01303,0.02098,0.00768,0.00243,2e-05,2e-05,2e-05
41442444,0.056114977,0.03191,0.02768,0.0244,0.01537,0.01959,0.02029,0.01799,0.01614,0.01318,0.01353,0.01395,0.01378,0.01199,0.01523,0.01616,0.01759,0.02184,0.02617,0.02976,0.03169,0.0311,0.03046,0.02771,0.02562,0.02329,0.02444,0.02347,0.02206,0.02086,0.02121,0.01955,0.01637,0.01663,0.01579,0.01813,0.02824,0.05039,0.07237,0.0986,0.13098,0.15431,0.16321,0.16822,0.18891,0.17725,0.17954,0.18224,0.1695,0.17931,0.1933,0.19501,0.19702,0.1975,0.20334,0.19724,0.18027,0.17644,0.18424,0.14307,0.14105,0.14403,0.16426,0.18137,0.12004,0.13025,0.14717,0.18788,0.20107,0.21057,0.21863,0.22057,0.22554,0.23391,0.2343,0.23696,0.24021,0.24149,0.23775,0.23409,0.22187,0.19208,0.11229,0.14101,0.13027,0.14472,0.17514,0.17891,0.19271,0.1984,0.19844,0.20276,0.20786,0.21424,0.22463,0.23632,0.24306,0.22354,0.20638,0.18531,0.17214,0.14371,0.12604,0.06105,0.00165,0.00026,0.00043,0.00026,0.00047,0.00035,0.00056,0.00092,0.00276,0.02535,0.02188,0.0269,0.04068,0.0522,0.06108,0.06961,0.07405,0.0793,0.08435,0.08699,0.09305,0.09825,0.1004,0.10262,0.10564,0.10907,0.11083,0.10956,0.11168,0.11287,0.11255,0.10832,0.10665,0.10163,0.09986,0.09514,0.0929,0.08727,0.08615,0.08064,0.06967,0.06481,0.05473,0.00577,0.00307,0.00142,0.00108,0.00194,0.00272,0.00346,0.00211,0.00174,0.00272,0.00136,0.00175,0.00259,0.002,0.0018,0.00174,0.00298,0.01384,0.00833,0.01375,0.01813,0.01924,0.00757,0.02237,0.01889,0.02477,0.02943,0.03362,0.02748,0.02934,0.03316,0.03304,0.03281,0.03471,0.03517,0.03671,0.03735,0.03824,0.03529,0.03548,0.03583,0.03717,0.04193,0.04092,0.04051,0.04573,0.04733,0.04619,0.05089,0.04884,0.04958,0.0464,0.04613,0.0412,0.04289,0.04038,0.04097,0.0372,0.03935,0.03763,0.03232,0.0286,0.03113,0.02983,0.03101,0.02458,0.02963,0.02478,0.01811,0.01808,0.01355,0.01309,0.01659,0.0126,0.01215,0.0114,0.01039,0.0087,0.00342,0.00769,0.00217,0.00301,0.00529,0.0078,0.00113,0.0024,0.00188,2e-05
