Band Number,Central Wavelength (nm)
1,400.0
2,408.84453781512605
3,417.6890756302521
4,426.53361344537814
5,435.3781512605042
6,444.2226890756302
7,453.0672268907563
8,461.9117647058824
9,470.7563025210084
10,479.60084033613447
11,488.4453781512605
12,497.28991596638656
13,506.1344537815126
14,514.9789915966387
15,523.8235294117648
16,532.6680672268908
17,541.5126050420168
18,550.3571428571429
19,559.2016806722689
20,568.046218487395
21,576.890756302521
22,585.7352941176471
23,594.5798319327731
24,603.4243697478992
25,612.2689075630252
26,621.1134453781513
27,629.9579831932773
28,638.8025210084033
29,647.6470588235294
30,656.4915966386554
31,665.3361344537816
32,674.1806722689075
33,683.0252100840337
34,691.8697478991596
35,700.7142857142858
36,709.5588235294117
37,718.4033613445379
38,727.2478991596638
39,736.09243697479
40,744.936974789916
41,753.781512605042
42,762.6260504201681
43,771.4705882352941
44,780.3151260504202
45,789.1596638655462
46,798.0042016806723
47,806.8487394957983
48,815.6932773109244
49,824.5378151260504
50,833.3823529411766
51,842.2268907563025
52,851.0714285714287
53,859.9159663865546
54,868.7605042016808
55,877.6050420168067
56,886.4495798319329
57,895.2941176470588
58,904.1386554621849
59,912.983193277311
60,921.827731092437
61,930.6722689075631
62,939.5168067226891
63,948.3613445378152
64,957.2058823529412
65,966.0504201680673
66,974.8949579831933
67,983.7394957983194
68,992.5840336134454
69,1001.4285714285714
70,1010.2731092436975
71,1019.1176470588235
72,1027.9621848739496
73,1036.8067226890757
74,1045.6512605042017
75,1054.4957983193276
76,1063.340336134454
77,1072.18487394958
78,1081.0294117647059
79,1089.873949579832
80,1098.7184873949582
81,1107.563025210084
82,1116.40756302521
83,1125.2521008403362
84,1134.0966386554624
85,1142.9411764705883
86,1151.7857142857142
87,1160.6302521008404
88,1169.4747899159665
89,1178.3193277310925
90,1187.1638655462184
91,1196.0084033613446
92,1204.8529411764707
93,1213.6974789915967
94,1222.5420168067226
95,1231.3865546218487
96,1240.231092436975
97,1249.0756302521008
98,1257.920168067227
99,1266.7647058823532
100,1275.609243697479
101,1284.453781512605
102,1293.2983193277312
103,1302.1428571428573
104,1310.9873949579833
105,1319.8319327731092
106,1328.6764705882354
107,1337.5210084033615
108,1346.3655462184875
109,1355.2100840336134
110,1364.0546218487395
111,1372.8991596638657
112,1381.7436974789916
113,1390.5882352941176
114,1399.4327731092437
115,1408.2773109243699
116,1417.1218487394958
117,1425.966386554622
118,1434.810924369748
119,1443.655462184874
120,1452.5
121,1461.3445378151262
122,1470.189075630252
123,1479.0336134453783
124,1487.8781512605042
125,1496.7226890756303
126,1505.5672268907563
127,1514.4117647058824
128,1523.2563025210084
129,1532.1008403361345
130,1540.9453781512607
131,1549.7899159663866
132,1558.6344537815128
133,1567.4789915966387
134,1576.3235294117649
135,1585.1680672268908
136,1594.012605042017
137,1602.857142857143
138,1611.701680672269
139,1620.546218487395
140,1629.3907563025211
141,1638.235294117647
142,1647.0798319327732
143,1655.9243697478992
144,1664.7689075630253
145,1673.6134453781513
146,1682.4579831932774
147,1691.3025210084033
148,1700.1470588235295
149,1708.9915966386554
150,1717.8361344537816
151,1726.6806722689078
152,1735.5252100840337
153,1744.3697478991598
154,1753.2142857142858
155,1762.058823529412
156,1770.9033613445379
157,1779.747899159664
158,1788.59243697479
159,1797.4369747899161
160,1806.281512605042
161,1815.1260504201682
162,1823.9705882352941
163,1832.8151260504203
164,1841.6596638655462
165,1850.5042016806724
166,1859.3487394957983
167,1868.1932773109245
168,1877.0378151260504
169,1885.8823529411766
170,1894.7268907563025
171,1903.5714285714287
172,1912.4159663865548
173,1921.2605042016808
174,1930.105042016807
175,1938.9495798319329
176,1947.794117647059
177,1956.638655462185
178,1965.483193277311
179,1974.327731092437
180,1983.1722689075632
181,1992.0168067226891
182,2000.8613445378153
183,2009.7058823529412
184,2018.5504201680674
185,2027.3949579831933
186,2036.2394957983195
187,2045.0840336134454
188,2053.9285714285716
189,2062.7731092436975
190,2071.6176470588234
191,2080.46218487395
192,2089.3067226890757
193,2098.1512605042017
194,2106.995798319328
195,2115.840336134454
196,2124.68487394958
197,2133.5294117647063
198,2142.373949579832
199,2151.218487394958
200,2160.063025210084
201,2168.90756302521
202,2177.7521008403364
203,2186.5966386554624
204,2195.4411764705883
205,2204.2857142857147
206,2213.13025210084
207,2221.9747899159665
208,2230.8193277310925
209,2239.6638655462184
210,2248.508403361345
211,2257.3529411764707
212,2266.1974789915967
213,2275.042016806723
214,2283.8865546218485
215,2292.731092436975
216,2301.5756302521013
217,2310.4201680672268
218,2319.264705882353
219,2328.109243697479
220,2336.953781512605
221,2345.7983193277314
222,2354.6428571428573
223,2363.4873949579833
224,2372.3319327731097
225,2381.176470588235
226,2390.0210084033615
227,2398.8655462184875
228,2407.7100840336134
229,2416.5546218487398
230,2425.3991596638657
231,2434.2436974789916
232,2443.088235294118
233,2451.932773109244
234,2460.77731092437
235,2469.621848739496
236,2478.466386554622
237,2487.310924369748
238,2496.155462184874
239,2505.0
